credit,debit,date,l,s,d
dfl12_038,dfl12_096,1583-09-19,7168,11,1.5
dfl12_038,dfl12_042,1583-09-19,782,17,1
dfl12_036,dfl12_038,1583-09-19,90,10,9
dfl12_038,dfl12_089,1583-12-15,0,0,8
dfl12_213,dfl12_038,1583-12-15,0,3,1.5
dfl12_212,dfl12_038,1583-12-15,0,4,5
dfl12_289,dfl12_038,1583-12-15,14693,7,2.5
dfl12_098,dfl12_038,1583-12-15,3584,17,4
dfl12_112,dfl12_038,1583-12-15,464,13,6
dfl12_112,dfl12_038,1583-12-15,682,0,1.5
dfl12_001,dfl12_039,1582-11-08,0,0,1
dfl12_001,dfl12_040,1582-11-08,395,14,7
dfl12_064,dfl12_040,1583-09-19,32,6,4
dfl12_064,dfl12_040,1583-12-15,34,13,10
dfl12_001,dfl12_041,1582-11-08,0,6,0
dfl12_001,dfl12_042,1582-11-08,1587,7,7
dfl12_052,dfl12_042,1583-09-19,48,7,4
dfl12_042,dfl12_089,1583-09-19,673,10,11
dfl12_002,dfl12_042,1584-03-22,1,1,8
dfl12_042,dfl12_211,1594-09-05,137,3,0
dfl12_042,dfl12_481,1594-09-12,189,9,11
dfl12_002,dfl12_042,1594-09-15,1,11,7
dfl12_481,dfl12_042,1594-09-15,57,18,8
dfl12_001,dfl12_043,1582-11-08,69,17,3
dfl12_002,dfl12_043,1582-11-21,20,0,0
dfl12_050,dfl12_043,1583-01-03,0,16,8
dfl12_002,dfl12_043,1583-02-12,30,0,0
dfl12_002,dfl12_043,1583-07-23,8,3,8
dfl12_001,dfl12_044,1582-11-08,1313,14,11
dfl12_084,dfl12_044,1583-01-10,0,2,4
dfl12_044,dfl12_215,1583-09-19,652,4,0
dfl12_268,dfl12_044,1584-02-22,24,0,0
dfl12_001,dfl12_045,1582-11-08,140,0,0
dfl12_001,dfl12_046,1582-11-08,7,3,10
dfl12_001,dfl12_047,1582-11-08,596,12,8
dfl12_047,dfl12_147,1583-01-06,152,6,4
dfl12_047,dfl12_147,1583-01-06,361,14,4
dfl12_073,dfl12_047,1583-08-09,222,9,11
dfl12_147,dfl12_047,1583-08-09,257,0,4
dfl12_047,dfl12_089,1583-08-09,317,5,4
dfl12_001,dfl12_048,1582-11-08,304,4,2
dfl12_080,dfl12_048,1583-09-19,324,1,5
dfl12_080,dfl12_048,1594-09-05,184,17,9
dfl12_001,dfl12_049,1582-11-08,2,2,4
dfl12_049,dfl12_358,1583-08-25,2,2,4
dfl12_001,dfl12_050,1582-11-08,7,13,1.5
dfl12_050,dfl12_301,1583-01-03,6,16,0
dfl12_050,dfl12_099,1583-02-12,217,4,7
dfl12_002,dfl12_050,1583-03-12,145,4,1
dfl12_001,dfl12_051,1582-11-08,102,13,10
dfl12_002,dfl12_051,1594-09-15,25,0,0
dfl12_051,dfl12_305,1594-09-15,5,7,8
dfl12_051,dfl12_066,1594-09-15,8,15,7
dfl12_001,dfl12_052,1582-11-08,58,19,5
dfl12_001,dfl12_053,1582-11-08,4,11,8
dfl12_002,dfl12_053,1582-11-15,8,6,8
dfl12_002,dfl12_053,1582-11-21,4,0,0
dfl12_002,dfl12_053,1583-02-08,13,1,8
dfl12_053,dfl12_301,1583-09-19,30,0,0
dfl12_001,dfl12_054,1582-11-08,12,0,0
dfl12_054,dfl12_098,1583-06-04,12,0,0
dfl12_001,dfl12_055,1582-11-08,344,7,8
dfl12_076,dfl12_055,1583-11-16,16,13,4
dfl12_001,dfl12_056,1582-11-08,43,6,8
dfl12_001,dfl12_057,1582-11-08,100,0,0
dfl12_002,dfl12_057,1583-03-12,6,0,0
dfl12_057,dfl12_309,1583-09-19,100,0,0
dfl12_072,dfl12_057,1583-09-19,19,0,0
dfl12_057,dfl12_002,1594-09-12,25,0,0
dfl12_001,dfl12_058,1582-11-08,35,14,5
dfl12_001,dfl12_059,1582-11-08,50,0,0
dfl12_001,dfl12_060,1582-11-08,2,11,4
dfl12_002,dfl12_060,1583-01-08,5,5,7
dfl12_001,dfl12_061,1582-11-08,86,13,4
dfl12_061,dfl12_002,1583-04-26,73,6,8
dfl12_061,dfl12_002,1583-09-19,26,13,4
dfl12_001,dfl12_062,1582-11-08,333,6,8
dfl12_062,dfl12_002,1582-11-10,333,6,8
dfl12_001,dfl12_063,1582-11-08,15,12,4
dfl12_063,dfl12_002,1583-03-12,15,13,0
dfl12_002,dfl12_063,1583-07-23,0,0,8
dfl12_063,dfl12_002,1583-07-23,15,11,8
dfl12_063,dfl12_002,1584-03-15,23,7,6
dfl12_001,dfl12_064,1582-11-08,39,17,10
dfl12_064,dfl12_082,1583-01-06,2,1,2
dfl12_082,dfl12_064,1583-01-06,8,1,11.5
dfl12_082,dfl12_064,1583-01-06,8,4,2
dfl12_002,dfl12_064,1583-02-01,15,0,0
dfl12_002,dfl12_064,1583-03-12,2,0,0
dfl12_002,dfl12_064,1583-03-12,4,19,4
dfl12_002,dfl12_064,1583-03-25,15,0,0
dfl12_002,dfl12_064,1583-05-28,20,0,0
dfl12_080,dfl12_064,1583-06-29,44,0,0
dfl12_002,dfl12_064,1583-07-11,10,0,0
dfl12_002,dfl12_064,1583-07-19,12,7,0
dfl12_002,dfl12_064,1583-08-05,155,0,0
dfl12_002,dfl12_064,1583-08-06,155,8,4
dfl12_002,dfl12_064,1583-08-06,155,8,4
dfl12_002,dfl12_064,1583-08-10,16,13,4
dfl12_002,dfl12_064,1583-08-13,105,11,1.5
dfl12_002,dfl12_064,1583-08-13,83,6,8
dfl12_002,dfl12_064,1583-08-25,1056,5,1
dfl12_064,dfl12_269,1583-08-25,1600,0,0
dfl12_101,dfl12_064,1583-08-25,19,13,3
dfl12_358,dfl12_064,1583-08-25,2,2,4
dfl12_082,dfl12_064,1583-09-19,0,0,3
dfl12_064,dfl12_082,1583-09-19,1,14,2
dfl12_082,dfl12_064,1583-09-19,127,15,7
dfl12_064,dfl12_082,1583-09-19,14,4,11
dfl12_082,dfl12_064,1583-09-19,31,4,4
dfl12_002,dfl12_064,1583-12-01,45,0,0
dfl12_002,dfl12_064,1584-07-13,13,10,7
dfl12_001,dfl12_065,1582-11-08,5526,4,11.5
dfl12_050,dfl12_065,1583-01-03,2,14,7
dfl12_065,dfl12_082,1583-01-06,0,4,1
dfl12_082,dfl12_065,1583-01-06,2,17,2
dfl12_065,dfl12_082,1583-01-06,37,14,0
dfl12_082,dfl12_065,1583-01-06,499,19,3
dfl12_065,dfl12_082,1583-01-06,66,6,4
dfl12_065,dfl12_091,1583-01-10,58,6,4
dfl12_080,dfl12_065,1583-06-29,83,3,10
dfl12_065,dfl12_101,1583-08-25,7,4,7
dfl12_101,dfl12_065,1583-08-25,81,12,11
dfl12_080,dfl12_065,1583-12-28,43,7,3
dfl12_001,dfl12_066,1582-11-08,34,4,1
dfl12_001,dfl12_067,1582-11-08,2,6,8
dfl12_001,dfl12_068,1582-11-08,3265,13,10
dfl12_068,dfl12_073,1583-09-08,16,9,0
dfl12_068,dfl12_357,1583-10-25,27,2,6
dfl12_316,dfl12_068,1584-03-15,1,1,11
dfl12_001,dfl12_069,1582-11-08,8,15,7
dfl12_001,dfl12_070,1582-11-08,100,0,0
dfl12_080,dfl12_070,1583-06-29,250,0,0
dfl12_070,dfl12_080,1583-12-28,350,0,0
dfl12_001,dfl12_071,1582-11-08,15,10,0
dfl12_001,dfl12_072,1582-11-08,19,0,0
dfl12_001,dfl12_073,1582-11-08,100,14,11
dfl12_002,dfl12_073,1583-09-26,160,0,0
dfl12_002,dfl12_073,1583-11-28,159,11,8
dfl12_002,dfl12_073,1583-11-28,76,8,10
dfl12_073,dfl12_467,1584-07-30,88,0,0
dfl12_001,dfl12_074,1582-11-08,122,8,6
dfl12_002,dfl12_074,1583-11-16,0,2,0
dfl12_092,dfl12_074,1583-11-16,2,0,0
dfl12_001,dfl12_075,1582-11-08,153,15,6
dfl12_075,dfl12_327,1582-11-23,153,15,6
dfl12_001,dfl12_076,1582-11-08,6,3,2
dfl12_316,dfl12_076,1583-01-15,4,5,6
dfl12_076,dfl12_002,1583-05-21,159,11,8
dfl12_076,dfl12_316,1583-06-29,4,5,6
dfl12_076,dfl12_084,1583-08-01,3,10,0
dfl12_002,dfl12_076,1583-08-13,100,0,0
dfl12_002,dfl12_076,1583-08-13,241,18,0
dfl12_002,dfl12_076,1583-08-13,45,1,7
dfl12_002,dfl12_076,1583-08-25,0,5,0
dfl12_002,dfl12_076,1583-08-25,146,7,1
dfl12_002,dfl12_076,1583-09-06,70,5,10
dfl12_076,dfl12_283,1583-09-19,603,12,6
dfl12_002,dfl12_076,1583-11-04,0,14,7
dfl12_001,dfl12_077,1582-11-08,326,14,11
dfl12_077,dfl12_095,1583-09-19,627,13,9
dfl12_001,dfl12_078,1582-11-08,0,6,2
dfl12_002,dfl12_078,1583-08-11,4,3,4
dfl12_001,dfl12_079,1582-11-08,14,17,5
dfl12_001,dfl12_080,1582-11-08,96,6,0
dfl12_002,dfl12_080,1582-11-17,95,0,0
dfl12_002,dfl12_080,1582-11-28,12,0,0
dfl12_080,dfl12_084,1583-01-10,14,17,3
dfl12_002,dfl12_080,1583-01-22,50,3,4
dfl12_161,dfl12_080,1583-02-05,200,0,0
dfl12_002,dfl12_080,1583-02-16,4,3,4
dfl12_002,dfl12_080,1583-02-16,50,0,0
dfl12_080,dfl12_267,1583-06-29,101,0,0
dfl12_080,dfl12_168,1583-06-29,4,13,0
dfl12_080,dfl12_098,1583-06-29,53,9,2
dfl12_002,dfl12_080,1583-08-25,30,0,0
dfl12_002,dfl12_080,1583-11-29,13,7,2
dfl12_001,dfl12_081,1582-11-08,163,4,0
dfl12_001,dfl12_082,1582-11-08,462,5,10
dfl12_082,dfl12_134,1583-01-06,16,0,0
dfl12_082,dfl12_313,1583-01-06,8,6,8
dfl12_002,dfl12_082,1583-02-16,42,17,4
dfl12_082,dfl12_002,1583-07-17,1,10,0
dfl12_082,dfl12_134,1583-07-17,3,19,7
dfl12_168,dfl12_082,1583-11-16,150,1,0
dfl12_001,dfl12_083,1582-11-08,1,0,9.5
dfl12_002,dfl12_083,1582-11-23,1,6,4
dfl12_002,dfl12_083,1583-01-03,1,3,4
dfl12_002,dfl12_083,1583-01-07,2,13,4
dfl12_002,dfl12_083,1583-01-31,1,17,4
dfl12_002,dfl12_083,1583-03-12,0,12,8
dfl12_083,dfl12_002,1583-03-16,9,12,6
dfl12_083,dfl12_002,1583-04-26,23,6,6
dfl12_083,dfl12_002,1583-04-26,6,3,8
dfl12_002,dfl12_083,1583-04-27,1,4,8
dfl12_083,dfl12_002,1583-05-14,10,11,4
dfl12_083,dfl12_002,1583-08-11,15,0,0
dfl12_083,dfl12_002,1583-08-11,3,6,8
dfl12_002,dfl12_083,1583-08-11,5,17,4
dfl12_083,dfl12_002,1583-08-11,6,17,6
dfl12_083,dfl12_002,1583-09-06,0,12,2
dfl12_002,dfl12_083,1583-09-24,2,13,4
dfl12_002,dfl12_083,1583-10-26,1,16,8
dfl12_002,dfl12_083,1583-11-02,1,0,0
dfl12_002,dfl12_083,1583-11-02,1,6,8
dfl12_002,dfl12_083,1584-02-03,1,0,0
dfl12_002,dfl12_083,1584-02-03,1,19,3
dfl12_083,dfl12_002,1584-03-15,5,10,0
dfl12_083,dfl12_002,1584-03-20,12,4,8
dfl12_083,dfl12_002,1584-04-12,10,7,8
dfl12_002,dfl12_083,1584-04-22,3,4,8
dfl12_002,dfl12_083,1584-05-07,1,15,0
dfl12_083,dfl12_002,1584-12-07,7,10,0
dfl12_083,dfl12_002,1584-12-31,13,15,0
dfl12_002,dfl12_083,1585-01-18,1,10,0
dfl12_083,dfl12_002,1585-01-18,5,12,5
dfl12_002,dfl12_083,1585-02-19,1,14,1
dfl12_002,dfl12_083,1585-02-19,8,16,2
dfl12_002,dfl12_083,1585-03-01,1,16,3
dfl12_002,dfl12_083,1594-01-20,0,6,6
dfl12_001,dfl12_084,1582-11-08,17,10,9
dfl12_084,dfl12_315,1583-01-10,36,8,3
dfl12_002,dfl12_084,1583-02-12,0,7,8
dfl12_084,dfl12_200,1583-08-04,346,12,4
dfl12_084,dfl12_201,1583-08-07,109,4,9
dfl12_002,dfl12_084,1583-08-25,50,0,0
dfl12_002,dfl12_084,1583-10-15,100,0,0
dfl12_002,dfl12_084,1583-10-15,50,0,0
dfl12_002,dfl12_084,1583-10-28,50,0,0
dfl12_002,dfl12_084,1583-11-28,50,0,0
dfl12_002,dfl12_084,1583-11-29,12,2,1
dfl12_002,dfl12_084,1583-12-15,15,0,0
dfl12_002,dfl12_084,1584-01-07,116,13,4
dfl12_084,dfl12_002,1584-02-20,61,6,2
dfl12_002,dfl12_084,1584-03-22,29,7,4
dfl12_001,dfl12_085,1582-11-08,216,4,8
dfl12_002,dfl12_085,1583-10-21,25,8,3
dfl12_001,dfl12_086,1582-11-08,249,1,1
dfl12_086,dfl12_211,1583-09-19,283,7,4
dfl12_001,dfl12_087,1582-11-08,46,4,6
dfl12_087,dfl12_002,1584-07-02,21,6,3
dfl12_087,dfl12_002,1584-07-17,18,8,0
dfl12_001,dfl12_088,1582-11-08,2,10,4
dfl12_088,dfl12_149,1594-09-20,2,10,4
dfl12_001,dfl12_089,1582-11-08,17,12,0
dfl12_089,dfl12_212,1583-09-19,105,9,10
dfl12_089,dfl12_073,1583-09-19,8,16,0
dfl12_001,dfl12_090,1582-11-08,16,6,10
dfl12_091,dfl12_090,1584-02-22,8,18,4
dfl12_091,dfl12_090,1594-09-20,25,6,3
dfl12_001,dfl12_091,1582-11-08,95,11,10
dfl12_091,dfl12_174,1583-02-21,152,6,2
dfl12_091,dfl12_163,1584-02-22,31,5,0
dfl12_001,dfl12_092,1582-11-08,2,0,0
dfl12_001,dfl12_095,1582-11-08,5446,3,7
dfl12_095,dfl12_210,1583-09-19,2937,0,4
dfl12_001,dfl12_096,1582-11-08,14112,8,8
dfl12_316,dfl12_096,1583-06-29,11,18,0
dfl12_316,dfl12_096,1583-06-29,21,3,0
dfl12_037,dfl12_096,1583-06-29,46,15,2.5
dfl12_096,dfl12_209,1583-09-19,10191,8,1
dfl12_001,dfl12_097,1582-11-08,14,16,10
dfl12_001,dfl12_098,1582-11-08,5288,17,2
dfl12_002,dfl12_098,1582-12-04,6,13,4
dfl12_002,dfl12_098,1582-12-29,40,0,0
dfl12_082,dfl12_098,1583-01-06,8,19,6.5
dfl12_116,dfl12_098,1583-01-06,91,12,5
dfl12_084,dfl12_098,1583-01-10,1,0,0
dfl12_084,dfl12_098,1583-01-10,1,13,7
dfl12_315,dfl12_098,1583-01-10,72,19,11
dfl12_098,dfl12_084,1583-01-15,1,14,5
dfl12_316,dfl12_098,1583-01-15,1,2,3
dfl12_316,dfl12_098,1583-01-15,1,9,9
dfl12_316,dfl12_098,1583-01-15,14,4,3
dfl12_098,dfl12_111,1583-01-15,34,12,5
dfl12_316,dfl12_098,1583-01-15,5,12,1
dfl12_098,dfl12_111,1583-01-15,5,17,9
dfl12_316,dfl12_098,1583-01-15,55,17,4
dfl12_316,dfl12_098,1583-01-15,6,2,0
dfl12_316,dfl12_098,1583-01-15,8,16,10
dfl12_002,dfl12_098,1583-01-22,1,16,8
dfl12_002,dfl12_098,1583-02-07,6,5,0
dfl12_080,dfl12_098,1583-02-12,10,17,8
dfl12_002,dfl12_098,1583-02-12,16,13,4
dfl12_002,dfl12_098,1583-02-12,16,13,4
dfl12_002,dfl12_098,1583-02-18,8,13,4
dfl12_098,dfl12_111,1583-02-21,5,8,11
dfl12_002,dfl12_098,1583-03-12,1,1,8
dfl12_002,dfl12_098,1583-03-12,3,6,8
dfl12_098,dfl12_002,1583-05-10,0,2,0
dfl12_098,dfl12_291,1583-06-02,0,10,0
dfl12_098,dfl12_326,1583-06-04,0,0,2
dfl12_098,dfl12_319,1583-06-04,0,5,0
dfl12_098,dfl12_306,1583-06-04,11,11,1
dfl12_245,dfl12_098,1583-07-15,2,13,2
dfl12_076,dfl12_098,1583-07-30,0,15,0
dfl12_316,dfl12_098,1583-07-30,1,0,1
dfl12_098,dfl12_076,1583-07-30,1,12,3
dfl12_325,dfl12_098,1583-07-30,800,0,0
dfl12_284,dfl12_098,1583-08-01,8,6,8
dfl12_317,dfl12_098,1583-08-25,18,4,7
dfl12_101,dfl12_098,1583-08-25,18,7,8
dfl12_283,dfl12_098,1583-08-25,22,13,3.5
dfl12_064,dfl12_098,1583-08-25,291,13,4
dfl12_317,dfl12_098,1583-08-25,326,2,8
dfl12_317,dfl12_098,1583-08-25,36,2,5
dfl12_317,dfl12_098,1583-08-25,440,13,1
dfl12_064,dfl12_098,1583-08-25,56,5,0
dfl12_012,dfl12_098,1583-08-31,62,7,9
dfl12_098,dfl12_181,1583-08-31,737,7,7
dfl12_098,dfl12_181,1583-08-31,93,0,4
dfl12_022,dfl12_098,1583-09-19,0,12,0
dfl12_274,dfl12_098,1583-09-19,0,2,0
dfl12_098,dfl12_073,1583-09-19,16,18,6
dfl12_060,dfl12_098,1583-09-19,2,11,4
dfl12_067,dfl12_098,1583-09-19,2,6,8
dfl12_304,dfl12_098,1583-09-19,23,8,9
dfl12_013,dfl12_098,1583-09-19,25,0,0
dfl12_315,dfl12_098,1583-09-19,65,3,1
dfl12_046,dfl12_098,1583-09-19,7,3,10
dfl12_098,dfl12_297,1583-09-19,8,11,10
dfl12_002,dfl12_098,1583-09-27,621,19,4
dfl12_002,dfl12_098,1583-10-10,1,6,4
dfl12_311,dfl12_098,1583-10-10,41,10,3
dfl12_267,dfl12_098,1583-10-14,136,0,0
dfl12_002,dfl12_098,1583-10-18,0,6,2
dfl12_002,dfl12_098,1583-11-04,0,11,6
dfl12_002,dfl12_098,1583-11-04,4,3,4
dfl12_002,dfl12_098,1583-11-04,5,12,2
dfl12_002,dfl12_098,1583-11-05,0,14,7
dfl12_002,dfl12_098,1583-11-05,35,0,0
dfl12_002,dfl12_098,1583-11-09,10,1,4
dfl12_002,dfl12_098,1583-11-09,4,3,4
dfl12_002,dfl12_098,1583-11-09,8,6,8
dfl12_355,dfl12_098,1583-11-16,0,0,6
dfl12_078,dfl12_098,1583-11-16,0,6,2
dfl12_098,dfl12_318,1583-11-16,1,0,0
dfl12_384,dfl12_098,1583-11-16,1,10,0
dfl12_339,dfl12_098,1583-11-16,10,0,0
dfl12_364,dfl12_098,1583-11-16,10,0,0
dfl12_097,dfl12_098,1583-11-16,11,16,6
dfl12_282,dfl12_098,1583-11-16,12,5,10
dfl12_203,dfl12_098,1583-11-16,13,14,10
dfl12_270,dfl12_098,1583-11-16,13,3,6
dfl12_098,dfl12_061,1583-11-16,13,6,8
dfl12_055,dfl12_098,1583-11-16,172,3,10
dfl12_417,dfl12_098,1583-11-16,2,0,0
dfl12_277,dfl12_098,1583-11-16,2,1,10
dfl12_098,dfl12_168,1583-11-16,3,0,4
dfl12_278,dfl12_098,1583-11-16,3,10,3
dfl12_284,dfl12_098,1583-11-16,3,9,5
dfl12_073,dfl12_098,1583-11-16,300,0,0
dfl12_266,dfl12_098,1583-11-16,4,9,2.5
dfl12_261,dfl12_098,1583-11-16,5,6,6
dfl12_279,dfl12_098,1583-11-16,5,9,6
dfl12_167,dfl12_098,1583-11-16,6,0,0
dfl12_262,dfl12_098,1583-11-16,6,5,0
dfl12_407,dfl12_098,1583-11-16,8,6,8
dfl12_408,dfl12_098,1583-11-16,8,6,8
dfl12_293,dfl12_098,1583-11-16,80,0,0
dfl12_310,dfl12_098,1583-11-16,86,0,8.25
dfl12_002,dfl12_098,1583-11-28,12,0,0
dfl12_002,dfl12_098,1583-11-28,12,19,0
dfl12_002,dfl12_098,1583-12-06,75,0,0
dfl12_002,dfl12_098,1583-12-12,1,13,6
dfl12_002,dfl12_098,1583-12-12,2,16,8
dfl12_002,dfl12_098,1583-12-14,8,6,8
dfl12_098,dfl12_300,1583-12-15,0,3,9
dfl12_103,dfl12_098,1583-12-15,4,14,1.5
dfl12_098,dfl12_289,1583-12-26,5644,0,0.25
dfl12_001,dfl12_099,1582-11-08,291,6,11
dfl12_099,dfl12_002,1583-01-09,291,6,11
dfl12_099,dfl12_002,1583-01-15,165,8,4
dfl12_099,dfl12_002,1583-03-12,217,4,7
dfl12_099,dfl12_002,1583-04-09,174,18,10
dfl12_099,dfl12_002,1583-05-07,88,9,0
dfl12_099,dfl12_002,1583-06-24,342,1,8
dfl12_001,dfl12_100,1582-11-08,33,6,8
dfl12_100,dfl12_002,1583-05-05,16,13,4
dfl12_100,dfl12_002,1584-03-15,16,13,4
dfl12_001,dfl12_101,1582-11-08,159,14,2
dfl12_101,dfl12_002,1583-08-17,0,12,2
dfl12_001,dfl12_102,1582-11-08,89,14,11
dfl12_316,dfl12_102,1582-11-23,5,9,6
dfl12_316,dfl12_102,1583-01-06,0,7,11
dfl12_116,dfl12_102,1583-01-06,20,13,1
dfl12_316,dfl12_102,1583-01-06,6,18,11
dfl12_102,dfl12_084,1583-01-10,26,1,5
dfl12_116,dfl12_102,1583-01-17,4,17,10
dfl12_097,dfl12_102,1583-01-31,1,10,4
dfl12_068,dfl12_102,1583-01-31,1,10,6
dfl12_068,dfl12_102,1583-01-31,28,17,4
dfl12_065,dfl12_102,1583-01-31,32,13,1.5
dfl12_116,dfl12_102,1583-01-31,9,15,0
dfl12_316,dfl12_102,1583-02-14,0,9,2
dfl12_330,dfl12_102,1583-02-14,38,6,8
dfl12_330,dfl12_102,1583-02-14,50,16,7
dfl12_002,dfl12_102,1583-03-12,20,0,0
dfl12_102,dfl12_174,1583-03-12,287,5,10
dfl12_002,dfl12_102,1583-03-16,20,0,0
dfl12_171,dfl12_102,1583-04-06,80,0,0
dfl12_002,dfl12_102,1583-04-30,49,3,4
dfl12_002,dfl12_102,1583-05-12,120,0,0
dfl12_002,dfl12_102,1583-05-12,80,0,0
dfl12_102,dfl12_131,1583-05-18,242,10,0
dfl12_102,dfl12_122,1583-05-18,404,3,4
dfl12_002,dfl12_102,1583-05-27,50,0,0
dfl12_102,dfl12_193,1583-06-20,80,1,0
dfl12_002,dfl12_102,1583-06-28,2,0,0
dfl12_002,dfl12_102,1583-07-02,130,3,4
dfl12_002,dfl12_102,1583-07-14,12,8,7
dfl12_002,dfl12_102,1583-07-14,151,1,4
dfl12_002,dfl12_102,1583-07-19,3,16,8
dfl12_002,dfl12_102,1583-07-20,129,14,2
dfl12_002,dfl12_102,1583-07-20,20,0,0
dfl12_185,dfl12_102,1583-07-21,157,1,8
dfl12_002,dfl12_102,1583-07-21,200,0,0
dfl12_002,dfl12_102,1583-07-23,200,0,0
dfl12_002,dfl12_102,1583-07-26,20,0,0
dfl12_002,dfl12_102,1583-07-27,22,12,8
dfl12_317,dfl12_102,1583-08-25,146,11,6
dfl12_078,dfl12_102,1583-09-19,96,0,0
dfl12_102,dfl12_002,1583-10-03,962,11,6.5
dfl12_002,dfl12_102,1583-10-26,9,9,0
dfl12_002,dfl12_102,1583-10-28,144,12,4.5
dfl12_002,dfl12_102,1583-11-05,6,0,0
dfl12_102,dfl12_148,1583-11-05,6,0,0
dfl12_102,dfl12_330,1583-11-16,154,1,4.5
dfl12_102,dfl12_055,1583-11-16,16,13,4
dfl12_316,dfl12_102,1584-03-15,32,0,7
dfl12_102,dfl12_302,1584-03-30,1,0,0
dfl12_454,dfl12_102,1584-07-30,9,10,0
dfl12_102,dfl12_344,1594-09-30,23,18,3
dfl12_001,dfl12_103,1582-11-08,108,17,4
dfl12_001,dfl12_106,1582-11-08,3,12,0
dfl12_001,dfl12_107,1582-11-08,754,14,6
dfl12_002,dfl12_107,1582-12-31,1,4,0
dfl12_002,dfl12_107,1583-01-31,248,12,0
dfl12_002,dfl12_107,1583-02-12,0,11,2
dfl12_107,dfl12_002,1594-09-12,75,16,8
dfl12_107,dfl12_002,1594-09-12,927,11,0
dfl12_001,dfl12_108,1582-11-08,11,17,6
dfl12_001,dfl12_110,1582-11-08,5254,15,0
dfl12_110,dfl12_096,1583-01-06,2750,9,8
dfl12_110,dfl12_077,1583-01-06,300,18,10
dfl12_110,dfl12_095,1583-01-06,519,1,6
