credit,debit,date,l,s,d
90,200,1583-09-19,2937,0,4
1,91,1582-11-08,14112,8,8
305,91,1583-06-29,11,18,0
305,91,1583-06-29,21,3,0
34,91,1583-06-29,46,15,2.5
91,199,1583-09-19,10191,8,1
1,92,1582-11-08,14,16,10
1,93,1582-11-08,5288,17,2
2,93,1582-12-04,6,13,4
2,93,1582-12-29,40,0,0
79,93,1583-01-06,8,19,6.5
106,93,1583-01-06,91,12,5
81,93,1583-01-10,1,0,0
81,93,1583-01-10,1,13,7
304,93,1583-01-10,72,19,11
93,81,1583-01-15,1,14,5
305,93,1583-01-15,1,2,3
305,93,1583-01-15,1,9,9
305,93,1583-01-15,14,4,3
93,103,1583-01-15,34,12,5
305,93,1583-01-15,5,12,1
93,103,1583-01-15,5,17,9
305,93,1583-01-15,55,17,4
305,93,1583-01-15,6,2,0
305,93,1583-01-15,8,16,10
2,93,1583-01-22,1,16,8
2,93,1583-02-07,6,5,0
77,93,1583-02-12,10,17,8
2,93,1583-02-12,16,13,4
2,93,1583-02-12,16,13,4
2,93,1583-02-18,8,13,4
93,103,1583-02-21,5,8,11
2,93,1583-03-12,1,1,8
2,93,1583-03-12,3,6,8
93,2,1583-05-10,0,2,0
93,280,1583-06-02,0,10,0
93,315,1583-06-04,0,0,2
93,308,1583-06-04,0,5,0
93,295,1583-06-04,11,11,1
234,93,1583-07-15,2,13,2
73,93,1583-07-30,0,15,0
305,93,1583-07-30,1,0,1
93,73,1583-07-30,1,12,3
314,93,1583-07-30,800,0,0
273,93,1583-08-01,8,6,8
306,93,1583-08-25,18,4,7
96,93,1583-08-25,18,7,8
272,93,1583-08-25,22,13,3.5
61,93,1583-08-25,291,13,4
306,93,1583-08-25,326,2,8
306,93,1583-08-25,36,2,5
306,93,1583-08-25,440,13,1
61,93,1583-08-25,56,5,0
11,93,1583-08-31,62,7,9
93,171,1583-08-31,737,7,7
93,171,1583-08-31,93,0,4
20,93,1583-09-19,0,12,0
263,93,1583-09-19,0,2,0
93,70,1583-09-19,16,18,6
57,93,1583-09-19,2,11,4
64,93,1583-09-19,2,6,8
293,93,1583-09-19,23,8,9
12,93,1583-09-19,25,0,0
304,93,1583-09-19,65,3,1
43,93,1583-09-19,7,3,10
93,286,1583-09-19,8,11,10
2,93,1583-09-27,621,19,4
2,93,1583-10-10,1,6,4
300,93,1583-10-10,41,10,3
256,93,1583-10-14,136,0,0
2,93,1583-10-18,0,6,2
2,93,1583-11-04,0,11,6
2,93,1583-11-04,4,3,4
2,93,1583-11-04,5,12,2
2,93,1583-11-05,0,14,7
2,93,1583-11-05,35,0,0
2,93,1583-11-09,10,1,4
2,93,1583-11-09,4,3,4
2,93,1583-11-09,8,6,8
344,93,1583-11-16,0,0,6
75,93,1583-11-16,0,6,2
93,307,1583-11-16,1,0,0
373,93,1583-11-16,1,10,0
328,93,1583-11-16,10,0,0
353,93,1583-11-16,10,0,0
92,93,1583-11-16,11,16,6
271,93,1583-11-16,12,5,10
193,93,1583-11-16,13,14,10
259,93,1583-11-16,13,3,6
93,58,1583-11-16,13,6,8
52,93,1583-11-16,172,3,10
406,93,1583-11-16,2,0,0
266,93,1583-11-16,2,1,10
93,158,1583-11-16,3,0,4
267,93,1583-11-16,3,10,3
273,93,1583-11-16,3,9,5
70,93,1583-11-16,300,0,0
255,93,1583-11-16,4,9,2.5
250,93,1583-11-16,5,6,6
268,93,1583-11-16,5,9,6
157,93,1583-11-16,6,0,0
251,93,1583-11-16,6,5,0
396,93,1583-11-16,8,6,8
397,93,1583-11-16,8,6,8
282,93,1583-11-16,80,0,0
299,93,1583-11-16,86,0,8.25
2,93,1583-11-28,12,0,0
2,93,1583-11-28,12,19,0
2,93,1583-12-06,75,0,0
2,93,1583-12-12,1,13,6
2,93,1583-12-12,2,16,8
2,93,1583-12-14,8,6,8
93,289,1583-12-15,0,3,9
98,93,1583-12-15,4,14,1.5
93,278,1583-12-26,5644,0,0.25
1,94,1582-11-08,291,6,11
94,2,1583-01-09,291,6,11
94,2,1583-01-15,165,8,4
94,2,1583-03-12,217,4,7
94,2,1583-04-09,174,18,10
94,2,1583-05-07,88,9,0
94,2,1583-06-24,342,1,8
1,95,1582-11-08,33,6,8
95,2,1583-05-05,16,13,4
95,2,1584-03-15,16,13,4
1,96,1582-11-08,159,14,2
96,2,1583-08-17,0,12,2
1,97,1582-11-08,89,14,11
305,97,1582-11-23,5,9,6
305,97,1583-01-06,0,7,11
106,97,1583-01-06,20,13,1
305,97,1583-01-06,6,18,11
97,81,1583-01-10,26,1,5
106,97,1583-01-17,4,17,10
92,97,1583-01-31,1,10,4
65,97,1583-01-31,1,10,6
65,97,1583-01-31,28,17,4
62,97,1583-01-31,32,13,1.5
106,97,1583-01-31,9,15,0
305,97,1583-02-14,0,9,2
319,97,1583-02-14,38,6,8
319,97,1583-02-14,50,16,7
2,97,1583-03-12,20,0,0
97,164,1583-03-12,287,5,10
2,97,1583-03-16,20,0,0
161,97,1583-04-06,80,0,0
2,97,1583-04-30,49,3,4
2,97,1583-05-12,120,0,0
2,97,1583-05-12,80,0,0
97,121,1583-05-18,242,10,0
97,112,1583-05-18,404,3,4
2,97,1583-05-27,50,0,0
97,183,1583-06-20,80,1,0
2,97,1583-06-28,2,0,0
2,97,1583-07-02,130,3,4
2,97,1583-07-14,12,8,7
2,97,1583-07-14,151,1,4
2,97,1583-07-19,3,16,8
2,97,1583-07-20,129,14,2
2,97,1583-07-20,20,0,0
175,97,1583-07-21,157,1,8
2,97,1583-07-21,200,0,0
2,97,1583-07-23,200,0,0
2,97,1583-07-26,20,0,0
2,97,1583-07-27,22,12,8
306,97,1583-08-25,146,11,6
75,97,1583-09-19,96,0,0
97,2,1583-10-03,962,11,6.5
2,97,1583-10-26,9,9,0
2,97,1583-10-28,144,12,4.5
2,97,1583-11-05,6,0,0
97,138,1583-11-05,6,0,0
97,319,1583-11-16,154,1,4.5
97,52,1583-11-16,16,13,4
305,97,1584-03-15,32,0,7
97,291,1584-03-30,1,0,0
442,97,1584-07-30,9,10,0
97,333,1594-09-30,23,18,3
1,98,1582-11-08,108,17,4
1,99,1582-11-08,3,12,0
1,100,1582-11-08,754,14,6
2,100,1582-12-31,1,4,0
2,100,1583-01-31,248,12,0
2,100,1583-02-12,0,11,2
100,2,1594-09-12,75,16,8
100,2,1594-09-12,927,11,0
1,101,1582-11-08,11,17,6
1,102,1582-11-08,5254,15,0
102,91,1583-01-06,2750,9,8
102,74,1583-01-06,300,18,10
102,90,1583-01-06,519,1,6
102,90,1583-02-05,239,1,10
65,102,1583-02-05,33,8,9
103,102,1583-02-05,6147,15,8
102,91,1583-02-05,804,0,8
102,65,1583-02-12,544,16,7
102,314,1583-02-19,2540,18,10.5
102,90,1583-05-10,306,6,10
102,39,1583-05-10,410,15,7
102,91,1583-05-10,924,6,11
102,65,1583-07-06,118,4,0
102,256,1583-07-06,136,0,0
102,282,1583-07-06,40,0,0
102,91,1583-07-26,2487,4,8
102,39,1583-07-26,332,15,11
102,90,1583-07-26,606,16,7
314,102,1583-07-30,25,0,0
102,314,1583-07-30,800,0,0
102,65,1583-10-03,1,4,0
171,102,1583-10-30,4612,18,8
102,200,1584-02-22,1085,17,8
102,39,1584-02-22,146,19,0
102,39,1584-02-22,226,8,8
102,199,1584-02-22,818,17,4
102,199,1584-11-20,530,2,0
102,200,1584-11-20,848,10,0
102,171,1594-09-05,1000,0,0
102,199,1594-09-05,685,12,4
102,434,1594-09-15,57,7,10
1,103,1582-11-08,23148,11,3.5
79,103,1582-11-26,60,8,8
40,103,1583-01-06,135,3,10
62,103,1583-01-15,355,5,4.5
106,103,1583-01-15,4,4,0
106,103,1583-01-15,782,15,0
327,103,1583-01-15,90,8,0
103,320,1583-01-17,1456,11,5
103,151,1583-02-05,320,0,0
103,152,1583-02-05,6,5,0
103,80,1583-02-08,102,1,8
103,155,1583-02-08,245,0,0
103,154,1583-02-08,362,8,0
103,121,1583-02-12,246,5,0
103,127,1583-02-12,287,5,10
106,103,1583-02-21,67,18,10
62,103,1583-02-21,87,11,6
103,65,1583-02-22,75,9,10
103,167,1583-03-23,126,14,4
103,122,1583-03-23,173,3,2
103,123,1583-03-23,226,9,7
103,116,1583-03-23,24,10,9
103,320,1583-05-12,111,7,10
103,257,1583-05-12,196,18,6
103,171,1583-05-12,23357,15,5
103,169,1583-05-12,51,8,4
103,306,1583-05-12,85,8,4
1,104,1582-11-08,1872,5,0
104,128,1582-11-17,163,6,8
104,129,1582-11-17,238,15,0
104,130,1582-11-23,246,17,6
104,120,1582-12-14,162,18,4
104,131,1583-01-03,164,3,4
104,281,1583-01-03,224,10,5
104,106,1583-01-03,755,13,11
104,156,1583-02-09,400,0,0
104,119,1583-02-21,163,6,8
104,159,1583-02-21,165,0,0
104,94,1583-04-06,162,1,8
104,168,1583-04-06,162,1,8
104,94,1583-04-06,88,9,0
104,73,1583-04-08,159,11,8
104,159,1583-04-08,162,1,8
343,104,1583-04-08,19,4,0
104,118,1583-04-26,241,17,6
104,159,1583-04-28,157,18,4
104,117,1583-04-29,160,8,4
104,118,1583-04-30,127,19,7
104,111,1583-04-30,160,8,4
343,104,1583-05-07,8,5,2
104,172,1583-05-12,161,17,6
104,114,1583-05-13,161,13,4
104,117,1583-05-13,192,10,0
343,104,1583-05-27,24,0,0
104,174,1583-05-28,162,1,8
104,94,1583-05-28,180,0,0
104,75,1583-05-28,96,0,0
104,109,1583-05-31,80,0,0
104,175,1583-06-02,162,1,8
104,180,1583-06-09,160,12,6
104,178,1583-06-09,160,8,4
104,179,1583-06-09,160,8,4
104,182,1583-06-09,183,6,8
104,181,1583-06-09,243,15,0
104,177,1583-07-03,178,5,10
104,185,1583-07-04,159,11,8
104,186,1583-07-04,159,3,4
104,187,1583-07-04,159,3,4
104,308,1583-07-04,159,3,4
104,94,1583-07-26,174,18,10
49,104,1583-07-30,10,12,1
23,104,1583-07-30,100,19,3
62,104,1583-07-30,1743,19,1
91,104,1583-07-30,18135,9,10
65,104,1583-07-30,2373,13,2
62,104,1583-07-30,2492,2,11
37,104,1583-07-30,261,15,8
346,104,1583-07-30,27,2,6
39,104,1583-07-30,360,18,4
45,104,1583-07-30,416,7,3
41,104,1583-07-30,645,17,0
86,104,1583-07-30,673,10,11
39,104,1583-07-30,819,4,6
90,104,1583-07-30,9099,9,5
104,159,1583-08-04,160,16,8
104,127,1583-08-26,158,2,6
104,173,1583-08-26,158,2,6
104,195,1583-08-26,159,3,4
104,34,1583-08-26,19,4,8
104,196,1583-08-31,160,0,0
104,304,1583-09-19,1000,0,0
104,198,1583-09-19,159,11,8
104,174,1583-09-19,315,16,8
104,188,1583-10-01,157,18,4
104,198,1583-10-14,158,15,0
104,188,1583-10-14,94,7,6
104,170,1583-10-30,156,13,4
104,163,1583-10-30,156,9,2
104,115,1583-11-05,156,13,4
104,207,1583-11-05,156,9,2
104,208,1583-11-05,156,9,2
104,209,1583-11-05,156,9,2
104,210,1583-11-05,156,9,2
104,110,1583-11-05,158,10,10
104,198,1583-11-05,158,6,8
104,211,1583-11-05,158,6,8
104,111,1583-11-05,312,18,4
104,172,1583-11-10,157,1,8
104,107,1583-11-10,158,15,0
104,213,1583-11-10,158,15,0
70,104,1583-11-16,105,5,5
202,104,1583-11-16,105,5,5
70,104,1583-11-16,127,17,3
204,104,1583-11-16,127,17,3
45,104,1583-11-16,147,9,4
77,104,1583-11-16,147,9,4
104,186,1583-11-16,159,11,8
201,104,1583-11-16,214,7,9
65,104,1583-11-16,2633,13,3
200,104,1583-11-16,2981,8,9
62,104,1583-11-16,3051,13,9
104,206,1583-11-16,316,3,7.5
203,104,1583-11-16,333,10,9
37,104,1583-11-16,334,19,2
82,104,1583-11-16,51,15,3
199,104,1583-11-16,8930,13,7
39,104,1583-11-16,911,6,10
104,135,1583-12-12,158,10,10
104,136,1583-12-12,158,15,0
104,213,1583-12-12,158,15,0
104,107,1583-12-12,160,8,4
104,197,1583-12-12,160,8,4
104,108,1583-12-12,240,12,6
104,77,1583-12-12,377,15,0
104,134,1583-12-12,79,7,6
86,104,1583-12-15,265,7,2
207,104,1583-12-15,78,4,7
98,104,1583-12-15,98,17,6
104,423,1583-12-28,159,11,8
104,430,1584-01-12,156,5,0
104,426,1584-01-21,155,16,8
104,426,1584-01-21,157,10,0
104,198,1584-01-21,157,5,10
104,412,1584-01-21,167,8,8
104,107,1584-01-21,236,5,0
104,416,1584-01-27,119,7,4
104,409,1584-01-27,157,18,4
104,134,1584-01-27,77,18,4
104,429,1584-02-10,108,18,9
104,428,1584-02-10,155,16,8
104,410,1584-02-10,311,5,0
104,424,1584-02-16,155,12,6
104,411,1584-02-16,157,10,0
104,417,1584-02-16,157,10,0
104,431,1584-02-16,233,8,9
104,422,1584-02-16,78,15,0
153,104,1584-02-22,120,17,7
104,136,1584-02-28,157,10,0
104,108,1584-02-28,157,5,10
104,213,1584-02-28,157,5,10
104,425,1584-02-28,157,5,10
200,104,1594-09-05,1055,2,1
199,104,1594-09-05,1122,5,0
200,104,1594-09-05,1323,19,0
201,104,1594-09-05,137,3,0
65,104,1594-09-05,140,9,0
104,39,1594-09-05,15,14,11
104,204,1594-09-05,17,6,11
104,465,1594-09-05,21959,3,10
104,462,1594-09-05,2242,14,5
192,104,1594-09-05,27,10,3
201,104,1594-09-05,29,3,2
104,199,1594-09-05,290,3,1
192,104,1594-09-05,303,16,1
204,104,1594-09-05,303,3,1
45,104,1594-09-05,369,15,7
104,462,1594-09-05,3776,6,2
104,45,1594-09-05,5,18,7
104,77,1594-09-05,5,18,7
104,65,1594-09-05,59,2,8
104,464,1594-09-05,6,4,0
39,104,1594-09-05,62,7,6
204,104,1594-09-05,72,14,2
82,104,1594-09-05,76,11,0
39,104,1594-09-05,767,13,11
104,62,1594-09-05,78,11,10
82,104,1594-09-05,81,19,3
199,104,1594-09-05,860,10,0
104,39,1594-09-05,87,13,3
104,192,1594-09-05,9,1,0
104,200,1594-09-05,92,7,1
1,105,1582-11-08,100,0,0
2,105,1583-11-04,0,14,7
105,306,1583-11-23,100,0,0
105,261,1594-09-20,0,14,7
1,2,1582-11-08,291,18,5
1,106,1582-11-08,66,18,5
2,106,1582-11-26,200,2,7
2,106,1582-12-11,0,10,0
106,73,1583-01-06,13,6,11
57,106,1583-01-06,5,5,7
81,106,1583-01-10,0,2,3
106,88,1583-01-15,2,10,0
106,314,1583-01-17,3,6,3
2,106,1583-05-13,0,15,0
77,106,1583-06-29,4,2,10
99,106,1583-08-01,3,12,0
30,106,1583-11-16,1,16,3
106,81,1583-12-28,3,3,0
107,2,1584-01-14,158,15,0
107,2,1584-01-21,160,8,4
107,2,1584-03-15,236,5,0
108,2,1584-01-27,240,12,6
108,2,1584-04-21,157,5,10
109,2,1583-07-02,80,0,0
110,2,1584-01-06,158,10,10
111,2,1583-05-25,160,8,4
111,2,1583-12-01,312,18,4
112,2,1583-02-03,197,18,4
112,2,1583-06-24,404,3,4
112,2,1583-10-06,400,0,0
113,2,1583-12-15,118,6,2
114,2,1583-07-16,161,13,4
115,2,1583-12-28,156,13,4
116,2,1583-05-03,24,10,9
117,2,1583-06-02,160,8,4
117,2,1583-06-10,192,10,0
118,2,1583-06-17,241,17,6
118,2,1583-06-28,127,19,7
119,2,1583-03-12,163,6,8
120,2,1583-12-14,162,18,4
121,2,1583-03-31,246,5,0
121,2,1583-06-28,242,10,0
122,153,1583-02-05,33,12,11
2,122,1583-03-12,33,12,11
122,2,1583-04-28,173,3,2
123,323,1583-04-30,226,9,10
123,2,1583-10-04,421,10,0
123,2,1583-12-05,278,0,2
123,2,1584-09-07,78,2,8
125,2,1584-01-14,234,7,6
126,2,1583-05-14,15,16,8
126,2,1583-07-29,32,8,4
126,2,1583-09-06,16,1,8
127,289,1583-04-01,287,5,10
127,2,1583-09-19,158,2,6
128,2,1583-11-10,163,6,8
129,2,1583-11-18,238,15,0
130,2,1582-12-20,246,17,6
131,2,1583-01-04,164,3,4
132,2,1583-12-26,262,9,0
133,2,1583-12-14,116,12,0
134,2,1584-01-04,79,7,6
134,2,1584-01-22,77,18,4
135,2,1584-01-04,158,10,10
136,2,1584-01-04,158,15,0
136,2,1584-04-21,157,10,0
2,137,1583-06-28,6,10,8
77,137,1583-06-29,2,5,5
137,204,1583-09-19,258,12,4
138,311,1584-03-27,6,11,8
305,139,1583-01-15,8,13,4
306,139,1583-08-25,53,7,11
141,278,1583-12-01,4709,10,6
339,142,1583-01-31,52,3,4
142,339,1584-01-07,52,3,4
339,143,1583-01-31,36,19,3
2,143,1584-01-07,100,0,0
143,339,1584-01-07,139,14,3
339,144,1583-01-31,35,9,2
2,144,1584-01-07,100,0,0
144,339,1584-01-07,135,9,2
339,145,1583-01-31,38,15,8
