id,dfl12,dfl12bis,account,label,group,type,kinship,location,notes
dfl12_012,10,NA,Peeter della Faille de Oude,Peeter della Faille de Oude,Peeter della Faille de Oude,Written off,TRUE,,Written off on oncosten van coopmansschappen as a lost debt because he does not have any capital (82b).
dfl12_013,11,NA,Roelant Paulet_1,Roelant Paulet,Antwerp,Political,FALSE,Antwerp,Written off on oncosten van coopmansschappen. Dealt with the defense of the city and now is written off as bad debt.
dfl12_014,12,11,Servaes Baes,Servaes Baes,Servaes Baes,Written off,FALSE,,Written off on the account Creditors of this Book n. 9 in 12 Bis – Bad_debt
dfl12_015,13,12,Julio Bargarusio,Julio Bargarusio,Julio Bargarusio,Miscellaneous,FALSE,,Open
dfl12_016,14,13,Heirs of Huysbrecht Verstraeten,Heirs of Huysbrecht Verstraeten,Heirs of Huysbrecht Verstraeten,Written off,FALSE,,Written off on the account Creditors of this Book n. 9 in 12 Bis – Bad_debt
dfl12_017,15,NA,Frederico Perenot Heer van Champagny,Frederico Perenot Heer van Champagny,Frederico Perenot Heer van Champagny,Loan,FALSE,,Governor of Antwerp. The loan created a profit of £23.11.7 written off on winninghe ende verlies nr 36.
dfl12_018,16,NA,City of Antwerp,City of Antwerp,Antwerp,Political,FALSE,Antwerp,Loan made to Antwerp that is not exopected to be paid off. This is written off as bad debt in nr 286 page 228b.
dfl12_019,17,14,Wouter Aertsen,Wouter Aertsen,Wouter Aertsen,Miscellaneous,TRUE,,Open
dfl12_021,19,NA,Jan de Witthem Heere van Beersele,Jan de Witthem Heere van Beersele,Antwerp,Political,FALSE,Antwerp,Payment of ransom for Antwerp on 4 November 1576. Written off on Creditors of this Book n. 9.
dfl12_022,20,NA,Jan Peeterssen,Jan Peeterssen,Jan Peeterssen,Written off,FALSE,,Written off on oncosten van coopmansschappen – Bad_debt
dfl12_024,22,18,Lucas de Hemele,Lucas de Hemele,Lucas de Hemele,Miscellaneous,FALSE,,Paid to the cassa on 13 September 1594.
dfl12_025,23,NA,Bocralen overhoop_1,Assorted rough packing linen,Linen,Goods,FALSE,,"The bocralen was brought over to the account of Carseyen overhoop (nr 114, 127b–131b)"
dfl12_026,24,NA,Lynwaet in company with Gillis del Ponte and Hilaria della Faille,Linen in company with Gillis del Ponte and Hilaria della Faille,Linen,Company,TRUE,,"Created a profit of £144.14.7 1/2 written off on winninghe ende verlies nr 36. The account is closed by transfering 47 stukken lynwaet to the rekening of Lynwaeten in company with Hilaria della Faille (nr 210, 182b–183a)."
dfl12_027,25,21,Antoine Malapert,Antoine Malapert,Antoine Malapert,Trade,TRUE,,12 Bis: On 20 September 1594 it was written off on the account of Louis Malapert.
dfl12_028,26,22,Jan de Vooght_1,Jan de Vooght,Jan de Vooght,Written off,FALSE,,"12 Bis: Taking the two accounts of Jan de Vooght from DFL 12 together de Vooght was debtor £78.3.0 1/2 and this is written off as 'quade schult', with the amount being written off on the account of each heir of Jan de Oude. – Bad_debt"
dfl12_029,27,23,Loys Hasebaert,Loys Hasebaert,Loys Hasebaert,Written off,FALSE,,12 Bis: Concerns a trip to Venice and is written off as quade schuld on Creditors of this Book n. 9 – Bad_debt
dfl12_030,28,24,Mayken Reyniers weduwe of Jan Ridderincx,"Mayken Reyniers, widow of Jan Ridderincx","Mayken Reyniers, widow of Jan Ridderincx",Miscellaneous,FALSE,,"12 Bis: Written off on the account of Catharina de Hane on 22 November 1584, because it derives from expenses of rent for a house for Catharina de Hane."
dfl12_031,29,NA,Heer Dierick van Liesvelt,Heer Dierick van Liesvelt,Heer Dierick van Liesvelt,Law,FALSE,,Chancellor of Brabant. Placed on the account of Oncosten van't process tegens Daniel de Hane (nr 293)
dfl12_032,30,NA,Gillis van den Bogaerde and Marcus Schoor_1,Gillis van den Bogaerde and Marcus Schoor,Gillis van den Bogaerde and Marcus Schoor,Trade,FALSE,,Cassa received £108.8.9. The remaining debt of £65 was written off on the account of Willem van den Mey (nr 78).
dfl12_033,31,NA,Jacomo Widhols,Jacomo Widhols,Jacomo Widhols,Factor,FALSE,Augsburg,"This is Jan Jacob, the son of Jan Widhols. The firm Widhols served the Della Failles in Augsburg. Written off on the account of his father Jan Widols (70a) and debit of carseyen (128a)"
dfl12_034,32,NA,Gillis del Ponte,Gillis del Ponte,Gillis del Ponte,Trade,TRUE,,"Written off in the account of Hilaria della Faille (nr 62, 36a–36b)"
dfl12_035,33,NA,Weduwe van Henrick Packmuts,Widow of Henrick Packmuts,Bills of exchange,Wissel,FALSE,,"Originally paid £100 by Marten and the Voyagie van London to pay to pay to the States of Brabant in Antwerp. However, this amount was not paid. Written off as quade schult in winninge ende verlies"
dfl12_036,34,NA,Matthys van Bergen,Matthys van Bergen,Bills of exchange,Wissel,FALSE,,Merchant in Hamburg who pulled a wissel from London. Written off as quade schult in winninge ende verlies
dfl12_037,35,25,Jaspar Celosse,Jaspar Celosse,Jaspar Celosse,Trade,TRUE,Emden,"Representative for the Della Failles in Emden. Wissel from Emden and London. See Brulez, page 260."
dfl12_038,36,NA,Winninge ende verlies_1,Profits and losses,Profits and losses,Trade,FALSE,Antwerp,"The total profits after the losses are calculated are £14693.7.2 1/2. This is written off as credit of the Creditors of the book n. 9 nr 286, 227b–231b"
dfl12_039,37,26,Joos de Voghele_1,Joos de Voghele,Joos de Voghele,Written off,TRUE,,12 Bis: Written off on winninghe ende verlies to even the account – Bad_debt
dfl12_040,38,279,Lynwaeten for the rekening of Hilaria della Faille and Hester van Eeckeren,Linen for the rekening of Hilaria della Faille and Hester van Eeckeren,Linen,Company,TRUE,,"Created a profit of £64.12.6 written off on winninghe ende verlies nr 36. The lynwaeten was sold in London. 12 Bis: Written off on Winninge ende verlies (nr 124, 84-92)."
dfl12_041,39,27,Joos de Voghele_2,Joos de Voghele,Joos de Voghele,Written off,TRUE,,12 Bis: Written off on winninghe ende verlies to even the account – Bad_debt
dfl12_042,40,86,Fyn rouwe syde,Fine raw silk,Fine silk,Goods,FALSE,,Purchase of silk in Verona and sent through Augsburg. The silk was sold in London. Created a profit of £782.17.1 written off on winninghe ende verlies nr 36. In 12bis it created a profit of £222.3.8. Also had a credit from the account of Ardasse syde ende cleyn foullie nieuw rekeninge (nr 87) for sale of silk that was mistakenly put in that account instead of in that of rouwe syde.
dfl12_043,41,240,Peeter della Faille de Jonge,Peeter della Faille de Jonge,Peeter della Faille de Jonge,Giovane,TRUE,,The total debit from dfl-12 of £129.12.5 is wrong. Should be £129.12.7. This leads to an open account of credit of £0.0.2.
dfl12_044,42,225,Camelotten overhoop,Assorted camlet,Camlet,Goods,FALSE,,"£645.17.0 was sold in London, but they still estimated that the account would create a loss of £39.16.3, which is written off on Winninge ende verlies nr 36. A credit of £652.4.0 was brought over to the account Camelotten overhoop nieuw rekeninge (nr 212, 184a). 12 Bis: Written off on Oncosten van conduitten (nr 207, 144-147)"
dfl12_045,43,28,Jan van Neste,Jan van Neste,Jan van Neste,Erffgoed,TRUE,,"12 Bis: Written off on capital van diverse renten. See also nr 180, 135-136"
dfl12_046,44,NA,Jan de Hilte van Cortryck,Jan de Hilte van Cortryck,Jan de Hilte van Cortryck,Written off,FALSE,,Written off as oncosten van coopmansschappen – Bad_debt
dfl12_047,45,NA,Carseyen in company of Jan de Wale,Kerseys in company of Jan de Wale,Kerseys,Company,TRUE,,"Created a profit of £351.18.7 written off on winninghe ende verlies nr 36. The first entry in the debits talks about transfering money. The second entry speaks about the sending of the carseyen. These were also mixed with the camelotten in the company of Jan de Wale (nr 145, 144a–146). Credits of £361.14.4 and £152.6.4 were brought over in debt to that account. On the credits there is selling of the carseyen in Venice"
dfl12_048,46,89,Lynwaet in the company of Willem van den Mey,Linen in the company of Willem van den Mey,Linen,Company,FALSE,,"The lynwaet was sold in London, and Willem van den Mey received £324.1.5 for his half. Created a profit of £117.0.7 written off on winninghe ende verlies nr 36."
dfl12_049,47,NA,Ghysbrecht Tytgat,Ghysbrecht Tytgat,Ghysbrecht Tytgat,Miscellaneous,FALSE,,"Written off on the account of Geleyen Lytgat (183b), which is then written off on account of Hilaria della Faille"
dfl12_050,48,NA,Margriete van Hoogersteyn,Margriete van Hoogersteyn,Margriete van Hoogersteyn,Trade,FALSE,Haarlem,This account shows Margriete van Hoogersteyn's involvement in trade of lynwaeten. She seems to have been involved in the bleaching of wool in Haarlem.
dfl12_051,49,29,Rigo Minauw,Rigo Minauw,Rigo Minauw,Trade,FALSE,Cologne,"Minauw or Minau was the Postmaster in Cologne. 12 Bis: After adding to the debit to £127.13.10, the debit was written off through taking his credit from his other account (nr 203), through work in trade that he did, and finally through £21.19.2 being taken from his account on Winninge ende verlies in order to even his account."
dfl12_052,50,NA,Capitoen syde ende Hoffsaet,Capitona silk,Capitona silk,Goods,FALSE,,Sold in London and the remaining brought over to the account of fyn rouwe syde.
dfl12_053,51,NA,Carel van Malsen,Carel van Malsen,Carel van Malsen,Trade,FALSE,,Heere van Tilburg. Debit reached £30 through payments by the cassa and then written off through payments by Carel van Malsem to Dierick de Jaghere (nr 298).
dfl12_054,52,NA,Beelken della Faille_1,Beelken della Faille,Beelken della Faille,Written off,TRUE,,Jan de Oude wrote this debt off and so it was written off under 'oncosten van coopmansschappen' on 4 June 1583
dfl12_055,53,NA,Ambrosius Goyvaerts_1,Ambrosius Goyvaerts,Ambrosius Goyvaerts,Law,FALSE,,"Goyvaerts was the secretary of the Raad van Brabant. He was bequested 50 gulden per year by Jan de Oude in his testament, but he died and so the money went back to the heirs. The heirs received half of the original debt and the other half written off on oncosten van coopmansschappen."
dfl12_056,54,30,Nicolaes Antonio van Smillien,Nicolaes Antonio van Smillien,Nicolaes Antonio van Smillien,Miscellaneous,FALSE,,Open
dfl12_057,55,31,Pauwels della Faille_1,Pauwels della Faille,Pauwels della Faille,Kin,TRUE,,12 Bis: Received by the cassa
dfl12_058,56,32,Peeter Rutgeert,Peeter Rutgeert,Peeter Rutgeert,Erffgoed,FALSE,,"12 Bis: Written off on Creditors of the book (nr 17, 15-21) on 20 September 1594 seemingly for salary for the administration of land in the Golderschen polder."
dfl12_059,57,33,Hans Noirot,Hans Noirot,Hans Noirot,Miscellaneous,TRUE,,Open
dfl12_060,58,NA,Henrick van Berge,Henrick van Berge,Henrick van Berge,Trade,FALSE,,Preparation: Balanced through the ‘bereyden’ or preparation of 217 kerseys to the account Carseyen overhoop.
dfl12_061,59,NA,States of Brabant,States of Brabant,Antwerp,Political,FALSE,Antwerp,
dfl12_062,60,NA,Andries van der Meulen,Andries van der Meulen,Andries van der Meulen,Trade,FALSE,,"Andries paid the cassa the amount of £333.6.8. It does not say anything more than this, so it is difficult to know what this is about. This was obviously done before the marriage of Daniel and Hester. I categorized this as trade, but mainly because this seems to be the best catch all."
dfl12_063,61,228,Simon de Deckere,Simon de Deckere,Simon de Deckere,Trade,FALSE,,Transactions involving the cassa and and dealing with Willem van den A.
dfl12_064,62,276,Hilaria della Faille_1,Hilaria della Faille,Hilaria della Faille,Trade,TRUE,,Hilaria sent a kindergifte to Carlo's wife and so may have been a godmother. This shows the close interaction between the book of the heirs and their aunt. There are many interactions that involve Jacques de Wale. 12 Bis: Paid by cassa.
dfl12_065,63,88,Lynwaeten,Linen,Linen,Goods,FALSE,,Created a profit of £2426.14.5 written off on winninghe ende verlies nr 36. The lynwaeten was sold in Venice and London. The vast majority was sold in London.
dfl12_066,64,34,Francisco van Eeckeren_1,Francisco van Eeckeren,Francisco van Eeckeren,Giovane,TRUE,Venice,12 Bis: The extra debt of £8.15.7 is from a payment made by Rigo Minauw in Cologne.
dfl12_067,65,NA,Jan Voet cleermaecker,Jan Voet,Jan Voet,Miscellaneous,FALSE,,Paid by oncosten van coopmansschappen for the making of clothes.
dfl12_068,66,84,Napelse Syde,Napolese silk,Silk,Goods,FALSE,,"DFL 12bis (nr 84) mistakenly begins the account with a debit of £115.5.7. The actual amount, as listed in DFL 12 (nr 66) is £114.15.7. This means that there is a mistake in the accounting of £0.10.0 credit."
dfl12_069,67,35,Rensche wynen,Rheinish wine,Wine,Goods,FALSE,,"12 Bis: Written off on creditors of the book (nr 17, 15-21) to even the account."
dfl12_070,68,36,Willem van den Mey_1,Willem van den Mey,Willem van den Mey,Trade,FALSE,Haarlem,Merchant from Haarlem
dfl12_071,69,37,Willem Mourcock,Willem Mourcock,Willem Mourcock,Written off,FALSE,,Written off on Winninge ende verlies because he had died and there was no hope to recover the debt – Bad_debt
dfl12_072,70,NA,Pauwels della Faille_2,Pauwels della Faille,Pauwels della Faille,Kin,TRUE,,Written off on his other account (nr 55)
dfl12_073,71,278,Jan de Wale_1,Jan de Wale,Jan de Wale,Factor,TRUE,Venice,Factor in Hamburg after Marten left in 1577 and then factor in Venice after Jan Borne left. 12 Bis: The credit reached £900.16.6
dfl12_074,72,230,Catharina Aertssen,Catharina Aertssen,Catharina Aertssen,Bequest,TRUE,,"She received £166.13.4 for improvement of her house as a bequest from Jan de Oude that is listed under Armen der stadt van Antwerpen  (nr 356, 285b–286a)."
dfl12_075,73,NA,Jeronimo Cassina,Jeronimo Cassina,Jeronimo Cassina,Trade,FALSE,,"He seems to have been a merchant, so I will place this account under trade. Written off on the account of Jems Tipman (256a) and will go under the account of 'crediteuren vanden voors. sterffhuyse'"
dfl12_076,74,38,Robert van Eeckeren_1,Robert van Eeckeren,Robert van Eeckeren,Trade,TRUE,Antwerp,"Many of the debits to Robert's account were for payments by the cassa. Many of these payments were to people with Spanish sounding surnames. Total payments by the cassa were £604.12.1. The main credit in the account is that Robert van Eeckeren took over the debt of the book to Hester van Eeckeren (nr 280, 223a–223b). 12 Bis: Written off on the account of Anna della Faille (nr 197, 139-142) on 30 March 1584 to even the account"
dfl12_077,75,NA,Witte florette syde,White floret silk,Floret silk,Goods,FALSE,,Total debt of £627.13.9 is written off on the account of florette syde (71b)
dfl12_078,76,NA,Antonio van Neste_1,Antonio van Neste,Antonio van Neste,Trade,TRUE,Venice,"Wissel from London and his bequest, while his original credit of £0.6.2 was written off on oncosten van coopmanschappen."
dfl12_079,77,39,Anthoni Peeterss van Brussel,Anthoni Peetersz,Anthoni Peetersz,Trade,FALSE,,"12 Bis: Written off on winninge ende verlies for payment made by Francisco van Eeckeren for travel to Venice. No other transactions, so I will categorize this under trade rather than as a giovane."
dfl12_080,78,281,Willem van den Mey_2,Willem van den Mey,Willem van den Mey,Trade,FALSE,Haarlem,Merchant from Haarlem. 12 Bis: The credit reached £355.18.7
dfl12_081,79,40,Francisco van Eeckeren_2,Francisco van Eeckeren,Francisco van Eeckeren,Giovane,TRUE,Venice,12 Bis: Account remains open
dfl12_082,80,NA,Jacques de Wale_1,Jacques de Wale,Jacques de Wale,Factor,TRUE,Kortrijk,Younger brother of Jan de Wale. Served in various capacities for the Della Failles and purchased various goods. He purchased linen in Kortrijk for Marten’s company in 1585–1594.
dfl12_083,81,41,Catharina de Hane,Catharina de Hane,Catharina de Hane,Kin,TRUE,,12 Bis: After a total debt of £72.10.1 1/2 the account is evened out by the same credits.
dfl12_084,82,245,Jan Verbeke,Jan Verbeke,Jan Verbeke,Trade,TRUE,Vlissingen,"Jan Verbeke, husband of Catharina de Wale and thus step-father of the heirs of Herman Pottey. He was Pensionary of Vlissingen after leaving Antwerp. Paid by cassa and through wissels."
dfl12_085,83,42,Christalyne spiegels,Crystal mirrors,Crystal mirrors,Goods,FALSE,,"12 Bis: The mirrors are creditor for two payments, but then winninge ende verlies is debtor for £31.7.5 for the losses to even the account out."
dfl12_086,84,NA,Ardasse syde ende cleyn foullie,Ardasse silk and mace,Ardasse silk and mace,Goods,FALSE,,"Credit of £283.7.4 written off on the account of ardasse syde ende foullie 'nieuw rekeninge' (nr 208, 181a). Created a profit of £34.6.3 written off on winninghe ende verlies nr 36."
dfl12_087,85,43,Engelsten,Engelsten,Engelsten,Goods,FALSE,,Two sales of 386 pounds and 334 pounds and then to Creditors of the book to even the account.
dfl12_088,86,44,Foullie for the rekening of Luis Cutsini,Mace for the account of Luis Cutsini,Luis Cutsini,Goods,FALSE,,Written off on the account of Luis Cutsini
dfl12_089,87,NA,Ardasse and Canarine syde van Marten della Faille and Jan de Wale,Ardasse and Canary silk of Marten della Faille and Jan de Wale,Ardasse and Canary silk,Company,TRUE,,"Created a profit of £44.15 written off on winninghe ende verlies nr 36. A credit of £105.9.10 was sent over to the account Ardasse ende canarine syde in company with Jan de Wale nieuw rekening (nr 209, 181b–182b)."
dfl12_090,88,45,Erardo Beham nieuw rekening,Erardo Beham new account,Erardo Beham,Trade,FALSE,Nuremberg,Merchant in Nuremberg and correspondent of the Widhols firm. 12 Bis: The debit extends to £50.11.3 and then is written off on oncosten van crediteuren for diverse things he did in Nuremberg.
dfl12_091,89,99,Jan Widhols nieuw rekening,Jan Widhols new account,Jan Widhols,Factor,FALSE,Cologne,12 Bis: Credit was augmented by £200 payment from Voyagie van Venice.
dfl12_092,90,NA,Lynken Pluym weduwe van Lenaert Pluym,"Lynken Pluym, widow of Lenaert Pluym","Lynken Pluym, widow of Lenaert Pluym",Miscellaneous,FALSE,,Written off on the account of Catharina Aertssen (47a)
dfl12_095,93,234,Florette syde,Floret silk,Floret silk,Goods,FALSE,,"Created a profit of £4281.5.8 written off on winninghe ende verlies nr 36. 12 Bis: Written off on Winninge ende verlies (nr 124, 84-92). This was due to a mistake in the accounting. The rest of the credit for Florette syde was placed on the nieuwe rekening."
dfl12_096,94,NA,Fyn syde,Fine silk,Fine silk,Goods,FALSE,,"The debts come from silk sent by the Branches of Venice and Verona. The credits mostly on the branch in London. The account is closed by placing the remaining £7168.11.1 1/2 as credit on the account of winninghe ende verlies (nr 36, 17b). A credit of £10191.8.1 is written off on the account of Fyn syde nieuwe rekening (nr 206, 179b–180a)"
dfl12_097,95,NA,Bouratten overhoop,Assorted bourat,Bourat,Goods,FALSE,,"Written off on the accounts of Marten della Faille and Jacques della Faille and oncosten van coopmansschappen (nr 86, 86a)"
dfl12_098,96,270,Oncosten van coopmansschappen,Trade expenses,Trade expenses,Trade,FALSE,Antwerp,"The majority of the costs for trade and various household costs listed in the first section are written off on the account of the Creditors of book n. 9 (nr 286: £5644.0.0 1/4) and on Winninge ende verlies (nr 36: £3584.17.4). 12 Bis: Written off on Winninge ende verlies (nr 124, 84-92)."
dfl12_099,97,NA,Lodewyck Blommaert_1,Lodewyck Blommaert,Bills of exchange,Wissel,FALSE,,5 wissels: 1 to Marten della Faille; 1 to Branch of London; 2 to Branch of Venice
dfl12_100,98,50,Jan de Wale_2,Jan de Wale,Jan de Wale,Factor,TRUE,Venice,12 Bis: Received by cassa.
dfl12_101,99,NA,Joos de Voghele nieuw rekening,Joos de Voghele new account,Joos de Voghele,Trade,TRUE,Haarlem,Purchased linen in Haarlem. Trade dealing with lynwaeten and Bocralen overhoop (nr 191) as well as bequest.
dfl12_102,100,280,Jacques della Faille_1,Jacques della Faille,Jacques,Heir,TRUE,,"This is his involvement in trade. Many of the payments come from the cassa or trade in Italy. 12 Bis: £23.18.3 is written off on the account of his paternal inheritance (nr 260, 172-176) in order to close the account."
dfl12_103,101,NA,Canifassen overhoop,Assorted canvas,Assorted canvas,Goods,FALSE,,
dfl12_106,104,NA,Jan de Reyer,Jan de Reyer,Jan de Reyer,Trade,FALSE,,Preparation of Carseyen overhoop
dfl12_107,105,53,D'erffgenaemen van Simon Longin in Brussels,Heirs of Simon Longin in Brussels,Heirs of Simon Longin in Brussels,Erffgoed,FALSE,,12 Bis: The debt came from the purchase of three houses in Brussels on 13 June 1582. The credits come from a payment to the cassa and another payment to the cassa involving Richardot.
dfl12_108,106,54,Prince van Simay,Prince van Simay,Prince van Simay,Written off,FALSE,,12 Bis: Written off on Creditors of the book – Bad_debt
dfl12_110,108,80,Voyagie van Verona,Branch of Verona,Verona branch,Branch,FALSE,Verona,"Created a profit of £2589.5 written off on winninghe ende verlies nr 36. 12 Bis: Credit of £57.7.10 was brought over to Voyagie van Verona nieuwe rekening (nr 125, 92) in order to even the account."
dfl12_111,109,56,Voyagie van Venice,Branch of Venice,Venice branch,Branch,FALSE,Venice,"Created a profit of £8000 written off on winninghe ende verlies nr 36. £23357.15.5 is written off on the account of Branch of Venice new rekening nr 178, 162a–168b. 12 Bis: The remaining debit of £9.16.11 is written off on winninge ende verlies on 30 March 1584 'voor abus ende erreur'."
dfl12_112,110,97,Voyagie van London,Branch of London,London branch,Branch,FALSE,London,"12 Bis: Includes payments on 22 March 1584 to the heirs. In the end, £21959.3.10 is brought over to Voyagie van London nieuwe rekening nr 156, 104-109"
dfl12_114,112,57,Louis Malapert_1,Louis Malapert,Louis Malapert,Trade,TRUE,,12 Bis: Written off on his other account on 20 September 1594.
dfl12_116,114,241,Carseyen overhoop,Assorted kerseys,Kerseys,Goods,FALSE,,"This account is interesting because the debits show expenses for textiles. The credits show the division of these textiles between the heirs, which was done on 6 and 31 January 1583. 12 Bis: Written off on Winninge ende verlies (nr 124, 84-92) after an additional credit to £67.8.3. There is an error in the account, because there should be £10 debit that is not on the account. The account ends with debit of -£9.10.0 according to my calculation."
dfl12_117,115,16,Jan de Lannoy_1,Bills of exchange,Bills of exchange,Wissel,FALSE,,Son of Jan Maechans. Three Wissels from London for a total of £555.8.4 across DFL 12 and 12bis
dfl12_118,116,19,Robert Collimor,Robert Collimor,Bills of exchange,Wissel,FALSE,,Two wissels from London for a total of £397.18.4 across DFL 12 and 12bis
dfl12_119,117,NA,Embrecht Pellicorne,Embrecht Pellicorne,Bills of exchange,Wissel,FALSE,,Wissel from London
dfl12_120,118,20,Bartholomeeus Peltier,Bartholomeeus Peltier,Bills of exchange,Wissel,FALSE,,Wissel from London
dfl12_121,119,NA,Jan Gaultier and Geeraert Hemaert_1,Jan Gaultier and Geeraert Hemaert,Bills of exchange,Wissel,FALSE,,Two wissels from London
dfl12_122,120,NA,Jacob Lange,Jacob Lange,Bills of exchange,Wissel,FALSE,,"Three wissels, one from Augsburg for Marten and two from Venice"
dfl12_123,121,NA,Antonio Gardino,Antonio Gardino,Bills of exchange,Wissel,FALSE,,Wissel from Venice
dfl12_124,122,NA,Antonio Marischal,Antonio Marischal,Bills of exchange,Wissel,FALSE,,Wissel from London
dfl12_125,123,NA,Ritsaert Caterol,Ritsaert Caterol,Bills of exchange,Wissel,FALSE,,Wissel from London
dfl12_126,124,NA,Fernando Ximenes and Ruy Nunez,Fernando Ximenes and Ruy Nunez,Bills of exchange,Wissel,FALSE,,Wissel from Venice
dfl12_127,125,NA,Hugo Janssen,Hugo Janssen,Bills of exchange,Wissel,FALSE,,Two wissels from London
dfl12_128,126,NA,Balthasar Bonters_1,Balthasar Bonters,Bills of exchange,Wissel,FALSE,,Two wissels from London
dfl12_129,127,NA,Jaspar Dingens,Jaspar Dingens,Bills of exchange,Wissel,FALSE,,Wissel from London
dfl12_130,128,NA,Willem Touley,Willem Touley,Bills of exchange,Wissel,FALSE,,Wissel from London
dfl12_131,129,NA,Mauritio Lanfranchi and Fabio Augustini_1,Mauritio Lanfranchi and Fabio Augustini,Bills of exchange,Wissel,FALSE,,Two wissels from Venice
dfl12_132,130,NA,Ludovico Perez,Ludovico Perez,Bills of exchange,Wissel,FALSE,,Wissel from Venice plus another payment made to the cassa
dfl12_133,131,233,Gaspar Rouelasca_1,Gaspar Rouelasca,Bills of exchange,Wissel,FALSE,,"Four wissels from Venice. However, not all were paid and this amount was written off on the account of Carlo Lanfranchi, but paid too much and so now in credit. 12 Bis: Payment to cassa augmented the credit to £78.3.3, but then mostly written off on Voyagie van Venice by to payment: £113.18.1, £78.2.8. A small debt of £0.0.7 was written off on Winninge ende verlies to even the account."
dfl12_134,132,48,Jan Reynaerts,Jan Reynaerts,Jan Reynaerts,Miscellaneous,TRUE,,"Open: Married to Johanna della Faille, daughter of Peter della Faille. Debits are from two payments made by Jacques de Wale to Jan Reynaerts."
dfl12_135,133,49,Guilliamme Coppin and Ferry Dornille,Guilliamme Coppin and Ferry Dornille,Bills of exchange,Wissel,FALSE,,Wissel from Venice. 12 Bis: Received by cassa.
dfl12_136,134,NA,Absalon Leerse_1,Absalon Leerse,Bills of exchange,Wissel,FALSE,,Three wissels from Venice
dfl12_137,135,NA,Jan Angelo Vergano_1,Jan Angelo Vergano,Bills of exchange,Wissel,FALSE,,Wissel from Venice that Vergano paid to Christian van Wiele (nr 297) and wissel from London
dfl12_138,136,NA,Thomas Eton,Thomas Eton,Bills of exchange,Wissel,FALSE,,Wissel from London
dfl12_139,137,NA,Emanuel Henricques,Emanuel Henricques,Bills of exchange,Wissel,FALSE,,Wissel from London
dfl12_140,138,NA,Tibere Peltier,Tibere Peltier,Bills of exchange,Wissel,FALSE,,Wissel from London
dfl12_141,139,NA,Thomas Monton,Thomas Monton,Bills of exchange,Wissel,FALSE,,Wissel from London
dfl12_142,140,242,Henrick Vool,Henrick Vool,Bills of exchange,Wissel,FALSE,,Wissel from Venice
dfl12_143,141,NA,Franchoys van Hove,Franchoys van Hove,Bills of exchange,Wissel,FALSE,,Wissel from Venice
dfl12_144,142,58,Jan Simons,Jan Simons,Bills of exchange,Wissel,FALSE,,Two wissels from London for a total of £157.5.10 across DFL 12 and 12bis
dfl12_145,143,59,Hans de Weert,Hans de Weert,Bills of exchange,Wissel,TRUE,,Wissel from London
dfl12_146,144,60,Willem Walcker,Willem Walcker,Bills of exchange,Wissel,FALSE,,Wissel from London
dfl12_147,145,246,Turcxe camelotten in company with Jan de Wale,Turkish camlet in company with Jan de Wale,Camlet,Company,TRUE,,"Created a loss of £10.16.8, which was written off on nr 36. A credit of £258.12.4 was also written off on the account Camelotten in Company with Jan de Wale (nr 211, 183a–184a). 12 Bis: Written off on Winninge ende verlies (nr 124, 84-92)."
dfl12_148,146,61,Eduart van Ghistele,Eduart van Ghistele,Eduart van Ghistele,Miscellaneous,FALSE,,Account is balanced through book transfer that was written off on the account of Adriaen van Afferden de Jonge (nr 319)
