dfl12,dfl12bis,credit,debit,account_1,relationship,account_2,date,librae,solidi,denarii,lsd,tr_type,notes
51,NA,dfl12_002,dfl12_053,Carel van Malsen,debtor,Cassa,15821121,4,0,0,4.0.0,,
51,NA,dfl12_002,dfl12_053,Carel van Malsen,debtor,Cassa,15830208,13,1,8,13.1.8,,
51,NA,dfl12_053,dfl12_301,Carel van Malsen,creditor,Dierick de Jagere,15830919,30,0,0,30.0.0,Book_transfer,
52,NA,dfl12_001,dfl12_054,Beelken della Faille_1,debtor,Balance on 8 November,15821108,12,0,0,12.0.0,,
52,NA,dfl12_054,dfl12_098,Beelken della Faille_1,creditor,Oncosten van coopmansschappen,15830604,12,0,0,12.0.0,Accounting,This entry does not seem to be listed under the account of Oncosten van coopmansschappen
53,NA,dfl12_001,dfl12_055,Ambrosius Goyvaerts_1,debtor,Balance on 8 November,15821108,344,7,8,344.7.8,,
53,NA,dfl12_076,dfl12_055,Ambrosius Goyvaerts_1,debtor,Robert van Eeckeren_1,15831116,16,13,4,16.13.4,,
54,30,dfl12_001,dfl12_056,Nicolaes Antonio van Smillien,debtor,Balance on 8 November,15821108,43,6,8,43.6.8,,
55,31,dfl12_001,dfl12_057,Pauwels della Faille_1,debtor,Balance on 8 November,15821108,100,0,0,100.0.0,,
55,31,dfl12_002,dfl12_057,Pauwels della Faille_1,debtor,Cassa,15830312,6,0,0,6.0.0,,
55,31,dfl12_057,dfl12_309,Pauwels della Faille_1,creditor,Hendrick della Faille_2,15830919,100,0,0,100.0.0,,
55,31,dfl12_072,dfl12_057,Pauwels della Faille_1,debtor,Pauwels della Faille_2,15830919,19,0,0,19.0.0,,
55,31,dfl12_057,dfl12_002,Pauwels della Faille_1,creditor,Cassa,15940912,25,0,0,25.0.0,,
56,32,dfl12_001,dfl12_058,Peeter Rutgeert,debtor,Balance on 8 November,15821108,35,14,5,35.14.5,,
57,33,dfl12_001,dfl12_059,Hans Noirot,debtor,Balance on 8 November,15821108,50,0,0,50.0.0,,
58,NA,dfl12_001,dfl12_060,Henrick van Berge,debtor,Balance on 8 November,15821108,2,11,4,2.11.4,,
58,NA,dfl12_002,dfl12_060,Henrick van Berge,debtor,Cassa,15830108,5,5,7,5.5.7,,
59,NA,dfl12_001,dfl12_061,States of Brabant,debtor,Balance on 8 November,15821108,86,13,4,86.13.4,,
59,NA,dfl12_061,dfl12_002,States of Brabant,creditor,Cassa,15830426,73,6,8,73.6.8,,
59,NA,dfl12_061,dfl12_002,States of Brabant,creditor,Cassa,15830919,26,13,4,26.13.4,,
60,NA,dfl12_001,dfl12_062,Andries van der Meulen,debtor,Balance on 8 November,15821108,333,6,8,333.6.8,,
60,NA,dfl12_062,dfl12_002,Andries van der Meulen,creditor,Cassa,15821110,333,6,8,333.6.8,,
61,228,dfl12_001,dfl12_063,Simon de Deckere,debtor,Balance on 8 November,15821108,15,12,4,15.12.4,,
61,228,dfl12_063,dfl12_002,Simon de Deckere,creditor,Cassa,15830312,15,13,0,15.13.0,,
61,228,dfl12_002,dfl12_063,Simon de Deckere,debtor,Cassa,15830723,0,0,8,0.0.8,,
61,228,dfl12_063,dfl12_002,Simon de Deckere,creditor,Cassa,15830723,15,11,8,15.11.8,,
61,228,dfl12_063,dfl12_002,Simon de Deckere,creditor,Cassa,15840315,23,7,6,23.7.6,,
62,276,dfl12_001,dfl12_064,Hilaria della Faille_1,debtor,Balance on 8 November,15821108,39,17,10,39.17.10,,
62,276,dfl12_064,dfl12_082,Hilaria della Faille_1,creditor,Jacques de Wale_1,15830106,2,1,2,2.1.2,,
62,276,dfl12_082,dfl12_064,Hilaria della Faille_1,debtor,Jacques de Wale_1,15830106,8,1,11.5,8.1.11 1/2,,
62,276,dfl12_082,dfl12_064,Hilaria della Faille_1,debtor,Jacques de Wale_1,15830106,8,4,2,8.4.2,,
62,276,dfl12_002,dfl12_064,Hilaria della Faille_1,debtor,Cassa,15830201,15,0,0,15.0.0,,Paid Willem van Mey on her order
62,276,dfl12_002,dfl12_064,Hilaria della Faille_1,debtor,Cassa,15830312,2,0,0,2.0.0,,Paid Schorremans for consultation fee
62,276,dfl12_002,dfl12_064,Hilaria della Faille_1,debtor,Cassa,15830312,4,19,4,4.19.4,,Paid Willem vanden Heuvel for a silver 'schaele' that was sent to Dordrecht as a kindergifte to the wife of Carlo
62,276,dfl12_002,dfl12_064,Hilaria della Faille_1,debtor,Cassa,15830325,15,0,0,15.0.0,,Paid Antonio van Neste
62,276,dfl12_002,dfl12_064,Hilaria della Faille_1,debtor,Cassa,15830528,20,0,0,20.0.0,,Sent with the messenger from Haarlem
62,276,dfl12_080,dfl12_064,Hilaria della Faille_1,debtor,Willem van den Mey_2,15830629,44,0,0,44.0.0,,
62,276,dfl12_002,dfl12_064,Hilaria della Faille_1,debtor,Cassa,15830711,10,0,0,10.0.0,,Paid Schorremans to go to Ghent and to 'appelleren' (appeal) the judgement against her
62,276,dfl12_002,dfl12_064,Hilaria della Faille_1,debtor,Cassa,15830719,12,7,0,12.7.0,,Paid Schorremans for expenses on his trip to Ghent
62,276,dfl12_002,dfl12_064,Hilaria della Faille_1,debtor,Cassa,15830805,155,0,0,155.0.0,,
62,276,dfl12_002,dfl12_064,Hilaria della Faille_1,debtor,Cassa,15830806,155,8,4,155.8.4,,
62,276,dfl12_002,dfl12_064,Hilaria della Faille_1,debtor,Cassa,15830806,155,8,4,155.8.4,,
62,276,dfl12_002,dfl12_064,Hilaria della Faille_1,debtor,Cassa,15830810,16,13,4,16.13.4,Bequest,Payment for a bequest
62,276,dfl12_002,dfl12_064,Hilaria della Faille_1,debtor,Cassa,15830813,105,11,1.5,105.11.1 1/2,,
62,276,dfl12_002,dfl12_064,Hilaria della Faille_1,debtor,Cassa,15830813,83,6,8,83.6.8,,
62,276,dfl12_002,dfl12_064,Hilaria della Faille_1,debtor,Cassa,15830825,1056,5,1,1056.5.1,,Paid to herself from the cassa
62,276,dfl12_064,dfl12_269,Hilaria della Faille_1,creditor,Gillis del Ponte and Hilaria della Faille,15830825,1600,0,0,1600.0.0,,
62,276,dfl12_101,dfl12_064,Hilaria della Faille_1,debtor,Joos de Voghele nieuw rekening,15830825,19,13,3,19.13.3,,
62,276,dfl12_358,dfl12_064,Hilaria della Faille_2,debtor,Geleyen Lytgat,15830825,2,2,4,2.2.4,,
62,276,dfl12_082,dfl12_064,Hilaria della Faille_1,debtor,Jacques de Wale_1,15830919,0,0,3,0.0.3,,
62,276,dfl12_064,dfl12_082,Hilaria della Faille_1,creditor,Jacques de Wale_1,15830919,1,14,2,1.14.2,,For the payment he received from Geleyn Tytgat in Ghent
62,276,dfl12_082,dfl12_064,Hilaria della Faille_1,debtor,Jacques de Wale_1,15830919,127,15,7,127.15.7,,Jacques de Wale paid in Ghent to Apolonis vanden Berge for the rest due him for the inheritance of Gillis del Ponte following the accord made with him
62,276,dfl12_064,dfl12_082,Hilaria della Faille_1,creditor,Jacques de Wale_1,15830919,14,4,11,14.4.11,,For the payment he received from Jan Bocquaert that Bocquaert had borrowed from Gillis del Ponte in his life time
62,276,dfl12_082,dfl12_064,Hilaria della Faille_1,debtor,Jacques de Wale_1,15830919,31,4,4,31.4.4,,Jacques de Wale paid an additional sum to Apolonis vanden Berge in Ghent
62,276,dfl12_002,dfl12_064,Hilaria della Faille_1,debtor,Cassa,15831201,45,0,0,45.0.0,,Paid to Jaspar Losschaert
62,276,dfl12_002,dfl12_064,Hilaria della Faille_1,debtor,Cassa,15840713,13,10,7,13.10.7,,
63,88,dfl12_001,dfl12_065,Lynwaeten,debtor,Balance on 8 November,15821108,5526,4,11.5,5526.4.11 1/2,,
63,88,dfl12_050,dfl12_065,Lynwaeten,debtor,Margriete van Hoogersteyn,15830103,2,14,7,2.14.7,,
63,88,dfl12_065,dfl12_082,Lynwaeten,creditor,Jacques de Wale_1,15830106,0,4,1,0.4.1,,
63,88,dfl12_082,dfl12_065,Lynwaeten,debtor,Jacques de Wale_1,15830106,2,17,2,2.17.2,,
63,88,dfl12_065,dfl12_082,Lynwaeten,creditor,Jacques de Wale_1,15830106,37,14,0,37.14.0,,
63,88,dfl12_082,dfl12_065,Lynwaeten,debtor,Jacques de Wale_1,15830106,499,19,3,499.19.3,,
63,88,dfl12_065,dfl12_082,Lynwaeten,creditor,Jacques de Wale_1,15830106,66,6,4,66.6.4,,
63,88,dfl12_065,dfl12_091,Lynwaeten,creditor,Jan Widhols nieuw rekening,15830110,58,6,4,58.6.4,,
63,88,dfl12_080,dfl12_065,Lynwaeten,debtor,Willem van den Mey_2,15830629,83,3,10,83.3.10,,
63,88,dfl12_065,dfl12_101,Lynwaeten,creditor,Joos de Voghele nieuw rekening,15830825,7,4,7,7.4.7,,
63,88,dfl12_101,dfl12_065,Lynwaeten,debtor,Joos de Voghele nieuw rekening,15830825,81,12,11,81.12.11,,
63,88,dfl12_080,dfl12_065,Lynwaeten,debtor,Willem van den Mey_2,15831228,43,7,3,43.7.3,,
64,34,dfl12_001,dfl12_066,Francisco van Eeckeren_1,debtor,Balance on 8 November,15821108,34,4,1,34.4.1,,
65,NA,dfl12_001,dfl12_067,Jan Voet cleermaecker,debtor,Balance on 8 November,15821108,2,6,8,2.6.8,,
66,84,dfl12_001,dfl12_068,Napelse Syde,debtor,Balance on 8 November,15821108,3265,13,10,3265.13.10,,
66,84,dfl12_068,dfl12_073,Napelse Syde,creditor,Jan de Wale_1,15830908,16,9,0,16.9.0,,
66,84,dfl12_068,dfl12_357,Napelse Syde,creditor,Gout ende Silverdraet,15831025,27,2,6,27.2.6,,
66,84,dfl12_316,dfl12_068,Napelse Syde,debtor,Marten Ensberger nieuw rekening,15840315,1,1,11,1.1.11,,
67,35,dfl12_001,dfl12_069,Rensche wynen,debtor,Balance on 8 November,15821108,8,15,7,8.15.7,,
68,36,dfl12_001,dfl12_070,Willem van den Mey_1,debtor,Balance on 8 November,15821108,100,0,0,100.0.0,,
68,36,dfl12_080,dfl12_070,Willem van den Mey_1,debtor,Willem van den Mey_2,15830629,250,0,0,250.0.0,Accounting,This is due to an error
68,36,dfl12_070,dfl12_080,Willem van den Mey_1,creditor,Willem van den Mey_2,15831228,350,0,0,350.0.0,,
69,37,dfl12_001,dfl12_071,Willem Mourcock,debtor,Balance on 8 November,15821108,15,10,0,15.10.0,,
70,NA,dfl12_001,dfl12_072,Pauwels della Faille_2,debtor,Balance on 8 November,15821108,19,0,0,19.0.0,,
